datetime,low,high,open,close,volumefrom,volumeto
2019-01-16,3572.52,3666.73,3580.76,3609.71,8531.11,30758589.69
2019-01-17,3541.29,3657.0,3609.71,3640.65,8526.63,30758678.41
2019-01-18,3580.16,3643.69,3640.65,3607.85,5741.49,20744958.32
2019-01-19,3604.9,3759.98,3607.85,3682.65,4765.26,17551096.43
2019-01-20,3481.01,3703.39,3682.65,3536.19,6721.45,24022523.12
2019-01-21,3487.37,3568.95,3536.19,3531.76,6240.95,22065763.42
2019-01-22,3425.0,3611.5,3531.76,3577.03,8672.66,30775003.38
2019-01-23,3523.64,3614.47,3577.03,3553.01,7628.41,27204598.72
2019-01-24,3530.1,3595.83,3553.01,3568.97,5607.18,19952934.72
2019-01-25,3510.01,3578.79,3568.97,3562.18,6547.88,23272887.24
2019-01-26,3540.0,3657.76,3562.18,3556.07,4534.02,16208498.17
2019-01-27,3471.98,3562.9,3556.07,3531.01,3868.19,13690073.61
2019-01-28,3374.02,3535.92,3531.01,3429.95,11621.01,39919615.64
2019-01-29,3337.87,3438.4,3429.95,3397.42,8168.2,27746463.85
2019-01-30,3373.35,3459.41,3397.42,3437.55,8293.61,28405644.02
2019-01-31,3396.74,3473.4,3437.55,3411.49,7148.39,24471669.15
2019-02-01,3369.62,3458.26,3411.49,3437.5,8410.91,28763661.15
2019-02-02,3414.49,3483.24,3437.5,3468.43,3813.96,13105971.91
2019-02-03,3386.45,3471.76,3468.43,3414.78,4341.6,14864318.35
2019-02-04,3395.1,3435.0,3414.78,3409.57,5727.22,19551500.4
2019-02-05,3400.0,3429.46,3409.57,3428.4,5993.48,20484570.9
2019-02-06,3340.8,3441.0,3428.4,3367.36,8897.36,30027779.92
2019-02-07,3352.01,3383.14,3367.36,3359.0,8292.37,27907612.16
2019-02-08,3344.0,3711.0,3359.0,3622.0,15716.99,55243279.17
2019-02-09,3597.0,3642.11,3622.0,3623.73,4887.47,17674316.87
2019-02-10,3578.59,3654.28,3623.73,3648.85,5165.23,18675524.41
2019-02-11,3579.38,3652.0,3648.85,3590.36,8107.71,29178699.25
2019-02-12,3550.0,3618.77,3590.36,3588.06,7722.15,27645391.28
2019-02-13,3562.98,3627.99,3588.06,3576.68,6850.51,24541109.49
2019-02-14,3535.1,3589.0,3576.68,3561.5,5661.32,20210454.73
2019-02-15,3545.89,3620.22,3561.5,3566.59,6844.45,24453168.07
2019-02-16,3565.5,3607.36,3566.59,3582.37,4156.81,14916499.5
2019-02-17,3557.43,3675.0,3582.37,3625.08,5781.9,20780886.86
2019-02-18,3616.18,3917.0,3625.08,3867.0,15037.03,56655317.89
2019-02-19,3841.54,3969.54,3867.0,3888.01,13795.19,53982559.47
2019-02-20,3867.13,3967.19,3888.01,3938.99,8325.53,32602642.37
2019-02-21,3869.45,3988.0,3938.99,3897.71,8198.49,32077392.67
2019-02-22,3886.15,3956.43,3897.71,3942.02,7477.11,29358924.77
2019-02-23,3911.3,4156.1,3942.02,4110.0,9881.57,39860713.71
2019-02-24,3712.84,4188.79,4110.0,3734.22,14145.95,55233424.46
2019-02-25,3731.09,3860.0,3734.22,3818.79,10610.58,40365766.13
2019-02-26,3763.71,3826.37,3818.79,3799.48,6309.89,23962925.76
2019-02-27,3655.0,3823.13,3799.48,3799.92,7410.2,27975803.06
2019-02-28,3755.21,3899.99,3799.92,3792.14,8766.86,33445250.63
2019-03-01,3791.31,3843.0,3792.14,3806.17,6474.64,24705314.88
2019-03-02,3763.0,3818.08,3806.17,3809.7,3583.18,13632830.38
2019-03-03,3763.62,3815.48,3809.7,3786.93,3839.56,14578727.87
2019-03-04,3672.39,3804.99,3786.93,3700.72,7793.41,28997773.37
2019-03-05,3692.36,3874.98,3700.72,3844.59,8617.6,32710915.64
2019-03-06,3812.0,3894.7,3844.59,3851.89,6615.04,25412172.29
2019-03-07,3830.79,3891.0,3851.89,3857.05,6997.28,27045042.11
2019-03-08,3771.0,3910.88,3857.05,3843.12,8160.65,31578776.48
2019-03-09,3834.59,3947.33,3843.12,3917.0,5170.55,20142551.25
2019-03-10,3867.84,3917.0,3917.0,3900.92,3444.59,13416590.84
2019-03-11,3817.01,3911.83,3900.92,3849.68,5750.54,22190744.14
2019-03-12,3798.16,3875.33,3849.68,3860.0,6489.22,24965536.42
2019-03-13,3827.5,3871.02,3860.0,3851.02,5460.66,21041161.73
2019-03-14,3779.28,3900.0,3851.02,3853.95,6992.9,26886698.0
2019-03-15,3846.79,3910.0,3853.95,3902.8,6550.17,25436911.1
2019-03-16,3900.93,4037.47,3902.8,3990.0,6188.47,24615016.13
2019-03-17,3936.3,3991.0,3990.0,3967.01,3285.58,13030110.4
2019-03-18,3937.69,4015.7,3967.01,3970.5,5416.76,21516929.92
2019-03-19,3952.08,4009.61,3970.5,4000.85,5661.46,22539664.34
2019-03-20,3965.43,4044.82,4000.85,4031.85,7115.39,28467208.73
2019-03-21,3915.14,4056.33,4031.85,3972.76,8111.68,32398651.2
2019-03-22,3961.7,3998.01,3972.76,3983.78,4891.24,19481901.3
2019-03-23,3960.26,3997.01,3983.78,3983.43,4061.58,16171860.03
2019-03-24,3946.0,3983.43,3983.43,3969.52,2596.43,10297802.49
2019-03-25,3858.0,3976.47,3969.52,3908.0,5952.69,23394062.25
2019-03-26,3880.64,3923.9,3908.0,3921.46,4120.79,16106788.73
2019-03-27,3914.9,4035.8,3921.46,4026.53,6403.2,25576745.5
2019-03-28,3994.0,4026.54,4026.53,4011.17,4632.27,18575392.36
2019-03-29,4007.78,4101.5,4011.17,4091.01,9792.86,39779443.38
2019-03-30,4042.51,4131.87,4091.01,4094.14,5065.59,20695894.74
2019-03-31,4077.01,4103.0,4094.14,4094.99,3070.87,12561363.51
2019-04-01,4051.53,4149.5,4094.99,4137.01,7735.88,31901450.55
2019-04-02,4133.15,5100.78,4137.01,4901.93,28678.1,134414183.73
2019-04-03,4787.11,5345.0,4901.93,4975.97,33951.68,171922050.36
